BI work storage use per user

Updated: Tue Aug 25 00:30:14 CDT 2026

Size	Used	Avail	Use%
34T	34T	12G	100%

Equal sharing user allotment
per current # users >=	1GB	10GB	100GB	1000GB
allotment =			930GB	1107GB	1638GB	4096GB

RANK	USERNAME	DISK USED	FILES USED
1	p653w640	6379.52GB	932500
2	d669d153	4362.24GB	698147
3	c378m666	3481.60GB	68638
4	a338p722	2949.12GB	31200
5	root	2672.64GB	35883
6	fmachado-stredel_sta	2488.32GB	407864
7	l944d476	1832.96GB	91642
8	h690s403	1536.00GB	9094
9	a619f280	1361.92GB	195898
10	l095w344	1054.72GB	1878
11	k246c679	895.40GB	1137454
12	c889s469	678.00GB	24993
13	m060h638	530.20GB	540733
14	k506c250	504.90GB	54785
15	c148p274	484.80GB	1353
16	p953c068	342.20GB	9695
17	s649d522	329.60GB	10562
18	100315184	290.60GB	84
19	k817a873	250.60GB	315
20	r110a449	239.30GB	22343
21	memort	232.50GB	2550
22	c361n270	232.00GB	2832
23	100490589	173.40GB	781512
24	d797i435	122.60GB	7383
25	r504w480	104.00GB	3681
26	12079	98.98GB	5831
27	144363	97.05GB	788
28	a733h002	93.38GB	5224
29	b686w673	67.07GB	1084
30	e059n789	59.95GB	1690
31	a265m760	45.66GB	1110
32	m538c005	37.38GB	2798
33	s953b810	20.44GB	228013
34	d135l135	18.49GB	22540
35	135273	17.59GB	261797
36	j306c371	17.40GB	383547
37	100385527	11.40GB	157835
38	100511615	9.44GB	199360
39	m350g339	8.65GB	397
40	jkarch	8.07GB	144402
41	d711r320	6.86GB	117
42	e379l440	4.95GB	240
43	o031l418	2.78GB	250
44	100356371	1.03GB	1
45	159799	1.00GB	20
46	k917r540	0.77GB	131
47	c447s996	0.32GB	50
48	k934h127	0.04GB	11
49	100478347	0.04GB	1422
50	r557e636	0.01GB	10
51	z343w151	0.00GB	1
52	w650s609	0.00GB	1
53	w425z264	0.00GB	1
54	w423f654	0.00GB	1
55	r011g326	0.00GB	1
56	p757p411	0.00GB	34
57	p470d241	0.00GB	134
58	p277m060	0.00GB	1
59	p109r165	0.00GB	1
60	n916c529	0.00GB	1
61	n916b574	0.00GB	1
62	mtholder	0.00GB	1
63	moyle	0.00GB	8
64	m754r856	0.00GB	1
65	m525g908	0.00GB	2
66	l375k706	0.00GB	1
67	k952p915	0.00GB	1
68	k947c454	0.00GB	1
69	k756m211	0.00GB	1
70	k597m303	0.00GB	1
71	k478t890	0.00GB	1
72	k318y142	0.00GB	1
73	k057p325	0.00GB	1
74	jensen	0.00GB	1
75	f134t664	0.00GB	1
76	f038b044	0.00GB	1
77	c721s275	0.00GB	1
78	b809a050	0.00GB	2
79	a947a573	0.00GB	1
80	a290c412	0.00GB	1
81	a164n634	0.00GB	1
82	a124h117	0.00GB	1
83	8306	0.00GB	1
84	2556	0.00GB	1
85	10382	0.00GB	1
86	100435793	0.00GB	18
87	100435315	0.00GB	2
88	100395100	0.00GB	1
89	100302928	0.00GB	1
90	*	0.00GB	0
